Tab-delimited Protein to Protein Blast Summary:
Query database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/GCF_005190385.1_NGI_Narwhal_1_protein_subset.fasta
Hit database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/2019.06_UP000005640_9606_Homo_sapiens_canonical.fasta


query_number	query_acc	query_desc	hit_acc	hit_desc	blast_scores	match_status	query_aa	hit_aa	alignment_aa	identity_aa	positive_aa	pc_identity	pc_postive	bit_score
1	XP_029056917.1	phosphoglycerate mutase 1 [Monodon monoceros]	sp|P18669|PGAM1_HUMAN	Phosphoglycerate mutase 1 OS=Homo sapiens OX=9606 GN=PGAM1 PE=1 SV=2	ident:254/254 pos:254/254 query:254 hit:254 align:254 bit:527.3	OK	254	254	254	254	254	100.0	100.0	527.3
2	XP_029056919.1	ectonucleoside triphosphate diphosphohydrolase 7 isoform X1 [Monodon monoceros]	sp|Q9NQZ7|ENTP7_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 7 OS=Homo sapiens OX=9606 GN=ENTPD7 PE=2 SV=1	ident:581/602 pos:592/602 query:602 hit:604 align:604 bit:1209.1	OK	602	604	604	581	592	96.5	98.3	1209.1
3	XP_029057033.1	retinol-binding protein 4 isoform X1 [Monodon monoceros]	sp|P02753|RET4_HUMAN	Retinol-binding protein 4 OS=Homo sapiens OX=9606 GN=RBP4 PE=1 SV=3	ident:172/196 pos:185/196 query:196 hit:201 align:197 bit:352.8	OK	196	201	197	172	185	87.8	94.4	352.8
4	XP_029057545.1	Golgi membrane protein 1 isoform X1 [Monodon monoceros]	sp|Q8NBJ4|GOLM1_HUMAN	Golgi membrane protein 1 OS=Homo sapiens OX=9606 GN=GOLM1 PE=1 SV=1	ident:340/405 pos:357/405 query:405 hit:401 align:405 bit:621.3	OK	405	401	405	340	357	84.0	88.1	621.3
5	XP_029057553.1	mimecan [Monodon monoceros]	sp|P20774|MIME_HUMAN	Mimecan OS=Homo sapiens OX=9606 GN=OGN PE=1 SV=1	ident:276/299 pos:288/299 query:299 hit:298 align:298 bit:533.5	OK	299	298	298	276	288	92.3	96.3	533.5
6	XP_029057789.1	gelsolin isoform X1 [Monodon monoceros]	sp|P06396|GELS_HUMAN	Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	ident:730/770 pos:751/770 query:770 hit:782 align:782 bit:1484.5	OK	770	782	782	730	751	94.8	97.5	1484.5
7	XP_029058155.1	coiled-coil domain-containing protein 180 isoform X1 [Monodon monoceros]	sp|Q9P1Z9|CC180_HUMAN	Coiled-coil domain-containing protein 180 OS=Homo sapiens OX=9606 GN=CCDC180 PE=2 SV=3	ident:1096/1507 pos:1269/1507 query:1507 hit:1701 align:1545 bit:2116.3	OK	1507	1701	1545	1096	1269	72.7	84.2	2116.3
8	XP_029058383.1	talin-1 isoform X1 [Monodon monoceros]	sp|Q9Y490|TLN1_HUMAN	Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3	ident:2514/2558 pos:2531/2558 query:2558 hit:2541 align:2558 bit:5114.3	OK	2558	2541	2558	2514	2531	98.3	98.9	5114.3
9	XP_029058500.1	complement C5 isoform X1 [Monodon monoceros]	sp|P01031|CO5_HUMAN	Complement C5 OS=Homo sapiens OX=9606 GN=C5 PE=1 SV=4	ident:1396/1677 pos:1529/1677 query:1677 hit:1676 align:1677 bit:2900.9	OK	1677	1676	1677	1396	1529	83.2	91.2	2900.9
10	XP_029058657.1	tenascin isoform X1 [Monodon monoceros]	sp|P24821|TENA_HUMAN	Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3	ident:1269/2019 pos:1463/2019 query:2019 hit:2201 align:1799 bit:2602.8	OK	2019	2201	1799	1269	1463	62.9	72.5	2602.8
