Pathway Report generated on: Sat Oct 12 16:59:24 2019
Total number of pathways was: 439 

Identifier	Description	Link	Frequency	Proteins
R-HSA-6798695	Neutrophil degranulation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-6798695", "R-HSA-6798695")	51	HBB_HUMAN; HPT_HUMAN; CO3_HUMAN; A1AT_HUMAN; A1AG2_HUMAN; FETUA_HUMAN; GELS_HUMAN; CAMP_HUMAN; CAMP_HUMAN; S10AC_HUMAN; A2GL_HUMAN; RAP1B_HUMAN; CD14_HUMAN; PPIA_HUMAN; PROP_HUMAN; S10A9_HUMAN; LYSC_HUMAN; CO3_HUMAN; KPYM_HUMAN; PIGR_HUMAN; TRFL_HUMAN; VINC_HUMAN; CFAD_HUMAN; GGH_HUMAN; GSTP1_HUMAN; CATS_HUMAN; B2MG_HUMAN; CXCL7_HUMAN; SLPI_HUMAN; CYTC_HUMAN; RNAS2_HUMAN; LAMP2_HUMAN; CAP1_HUMAN; PSA2_HUMAN; PGAM1_HUMAN; SAP_HUMAN; LFA3_HUMAN; ELNE_HUMAN; ALDOA_HUMAN; LAMP1_HUMAN; SPB10_HUMAN; TBB4B_HUMAN; CATC_HUMAN; VNN1_HUMAN; G6PI_HUMAN; DAF_HUMAN; BIN2_HUMAN; HSP7C_HUMAN; GRN_HUMAN; IQGA2_HUMAN; MA2B1_HUMAN
R-HSA-114608	Platelet degranulation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-114608", "R-HSA-114608")	50	ALBU_HUMAN; TRFE_HUMAN; APOA1_HUMAN; A2MG_HUMAN; IC1_HUMAN; A1AT_HUMAN; PLMN_HUMAN; ITIH4_HUMAN; A1AG2_HUMAN; A2MG_HUMAN; FETUA_HUMAN; APOH_HUMAN; TRFE_HUMAN; CLUS_HUMAN; A2AP_HUMAN; KNG1_HUMAN; FINC_HUMAN; TETN_HUMAN; PROS_HUMAN; FIBA_HUMAN; PROF1_HUMAN; LG3BP_HUMAN; ECM1_HUMAN; FIBB_HUMAN; PPIA_HUMAN; COF1_HUMAN; TYB4_HUMAN; SODC_HUMAN; ITIH3_HUMAN; FIBG_HUMAN; SEPP1_HUMAN; F13A_HUMAN; VINC_HUMAN; CFAD_HUMAN; TAGL2_HUMAN; PLF4_HUMAN; CXCL7_HUMAN; FIBA_HUMAN; LAMP2_HUMAN; CAP1_HUMAN; TSP1_HUMAN; SAP_HUMAN; BIP_HUMAN; VWF_HUMAN; TLN1_HUMAN; ALDOA_HUMAN; FA5_HUMAN; URP2_HUMAN; FLNA_HUMAN; ACTN1_HUMAN
R-HSA-977606	Regulation of Complement cascade 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-977606", "R-HSA-977606")	34	CO3_HUMAN; IC1_HUMAN; CO4B_HUMAN; C4BPA_HUMAN; CFAH_HUMAN; CFAH_HUMAN; CFAB_HUMAN; VTNC_HUMAN; C1QA_HUMAN; THRB_HUMAN; CO5_HUMAN; CLUS_HUMAN; CO9_HUMAN; CO8B_HUMAN; PROS_HUMAN; CO2_HUMAN; CO8A_HUMAN; CO7_HUMAN; CFAI_HUMAN; C1S_HUMAN; C1R_HUMAN; CBPB2_HUMAN; CO6_HUMAN; C1QB_HUMAN; C4BPB_HUMAN; CO8G_HUMAN; PROP_HUMAN; CO3_HUMAN; CBPN_HUMAN; C4BPA_HUMAN; ELNE_HUMAN; CPN2_HUMAN; DAF_HUMAN; CR2_HUMAN
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs) 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-381426", "R-HSA-381426")	33	ALBU_HUMAN; TRFE_HUMAN; APOA1_HUMAN; APOA2_HUMAN; CO3_HUMAN; CERU_HUMAN; A1AT_HUMAN; PLMN_HUMAN; ANT3_HUMAN; FETUA_HUMAN; APOB_HUMAN; TRFE_HUMAN; THRB_HUMAN; KNG1_HUMAN; FINC_HUMAN; APOE_HUMAN; FIBA_HUMAN; HEP2_HUMAN; ITIH2_HUMAN; ZPI_HUMAN; FIBG_HUMAN; CO3_HUMAN; PROC_HUMAN; IBP3_HUMAN; ALS_HUMAN; CYTC_HUMAN; IBP2_HUMAN; FIBA_HUMAN; GOLM1_HUMAN; IBP6_HUMAN; FA5_HUMAN; TENA_HUMAN; LAMB1_HUMAN
R-HSA-8957275	Post-translational protein phosphorylation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-8957275", "R-HSA-8957275")	28	ALBU_HUMAN; TRFE_HUMAN; APOA1_HUMAN; APOA2_HUMAN; CO3_HUMAN; CERU_HUMAN; A1AT_HUMAN; ANT3_HUMAN; FETUA_HUMAN; APOB_HUMAN; TRFE_HUMAN; KNG1_HUMAN; FINC_HUMAN; APOE_HUMAN; FIBA_HUMAN; HEP2_HUMAN; ITIH2_HUMAN; ZPI_HUMAN; FIBG_HUMAN; CO3_HUMAN; PROC_HUMAN; IBP3_HUMAN; CYTC_HUMAN; FIBA_HUMAN; GOLM1_HUMAN; FA5_HUMAN; TENA_HUMAN; LAMB1_HUMAN
R-HSA-977225	Amyloid fiber formation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-977225", "R-HSA-977225")	15	APOA1_HUMAN; APOA4_HUMAN; GELS_HUMAN; FIBA_HUMAN; SAA1_HUMAN; LYSC_HUMAN; H2B2E_HUMAN; TRFL_HUMAN; B2MG_HUMAN; SAA1_HUMAN; SYUA_HUMAN; H33_HUMAN; CYTC_HUMAN; BGH3_HUMAN; FIBA_HUMAN
R-HSA-140875	Common Pathway of Fibrin Clot Formation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-140875", "R-HSA-140875")	15	ANT3_HUMAN; THRB_HUMAN; PROS_HUMAN; FIBA_HUMAN; HEP2_HUMAN; FIBB_HUMAN; FIBG_HUMAN; IPSP_HUMAN; PROC_HUMAN; F13A_HUMAN; F13B_HUMAN; FA10_HUMAN; PLF4_HUMAN; FIBA_HUMAN; FA5_HUMAN
R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-140837", "R-HSA-140837")	14	A2MG_HUMAN; IC1_HUMAN; ANT3_HUMAN; A2MG_HUMAN; THRB_HUMAN; KNG1_HUMAN; HEP2_HUMAN; FA9_HUMAN; IPSP_HUMAN; PROC_HUMAN; FA10_HUMAN; FA11_HUMAN; VWF_HUMAN; GP1BA_HUMAN
R-HSA-216083	Integrin cell surface interactions 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-216083", "R-HSA-216083")	12	VTNC_HUMAN; FINC_HUMAN; FIBA_HUMAN; FIBB_HUMAN; LUM_HUMAN; FIBG_HUMAN; FIBA_HUMAN; TSP1_HUMAN; VWF_HUMAN; COMP_HUMAN; ICAM1_HUMAN; TENA_HUMAN
R-HSA-418594	G alpha (i) signalling events 	=hyperlink("http://www.reactome.org/content/detail/R-HSA-418594", "R-HSA-418594")	10	CO3_HUMAN; CO5_HUMAN; KNG1_HUMAN; ANGT_HUMAN; SAA1_HUMAN; CO3_HUMAN; PLF4_HUMAN; CXCL7_HUMAN; SAA1_HUMAN; SAP_HUMAN
