Search title,narwhal semitryp,,,,,,,,,,,
MS data file,\\nist-storage\group09\Users\Ben\2019-4-9 COMPARE Set 1\2019-4-9_NW1.mgf,,,,,,,,,,,
Database 1,"cRAP (107 sequences; 35,821 residues)",,,,,,,,,,,
Database 2,"RefSeq_Narwhal 1 (45,047 sequences; 30,826,872 residues)",,,,,,,,,,,
Taxonomy 1,(none),,,,,,,,,,,
Taxonomy 2,(none),,,,,,,,,,,
Timestamp,20 Aug 2019 at 19:36:47 GMT,,,,,,,,,,,
Type of search,MS/MS Ion Search,,,,,,,,,,,
Enzyme,semiTrypsin,,,,,,,,,,,
Fixed modifications,Carbamidomethyl (C),,,,,,,,,,,
Variable modifications,"Acetyl (Protein N-term),Deamidated (NQ),Gln->pyro-Glu (N-term Q),Oxidation (M)",,,,,,,,,,,
Mass values,Monoisotopic,,,,,,,,,,,
Protein mass,Unrestricted,,,,,,,,,,,
Peptide mass tolerance,10 ppm,,,,,,,,,,,
Fragment mass tolerance,10 ppm,,,,,,,,,,,
Max missed cleavages,2,,,,,,,,,,,
Instrument type,Default,,,,,,,,,,,
Number of queries,"45,002",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Significance threshold p<,0.009145,,,,,,,,,,,
Max. number of families,AUTO,,,,,,,,,,,
Ions score or expect cut-off,-1,,,,,,,,,,,
Preferred taxonomy,All entries,,,,,,,,,,,
Show Percolator scores?,no,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,NOT(Database is cRAP),,,,,,,,,,,
,,,,,,,,,,,,
Family,Member,Database,Accession,Score,Mass,Num. of matches,Num. of significant matches,Num. of sequences,Num. of significant sequences,emPAI,Sequence coverage,Description
1,1,RefSeq_Narwhal,XP_029091046.1,31311,70942,1210,1210,257,257,308130362.1,0.89,serum albumin [Monodon monoceros]
2,1,RefSeq_Narwhal,XP_029069747.1,18021,80612,593,593,137,137,46648.49,0.74,serotransferrin-like [Monodon monoceros]
7,1,RefSeq_Narwhal,XP_029065336.1,4302,30372,194,194,49,49,9206.82,0.68,apolipoprotein A-I [Monodon monoceros]
12,1,RefSeq_Narwhal,XP_029069633.1,3446,16207,97,97,26,26,2374.11,0.86,LOW QUALITY PROTEIN: hemoglobin subunit beta-like [Monodon monoceros]
10,1,RefSeq_Narwhal,XP_029058726.1,3997,38729,177,177,49,49,1893.01,0.74,haptoglobin-like [Monodon monoceros]
3,1,RefSeq_Narwhal,XP_029060634.1,13178,165935,511,511,168,168,465.48,0.77,alpha-2-macroglobulin-like isoform X1 [Monodon monoceros]
39,1,RefSeq_Narwhal,XP_029086789.1,898,11550,26,26,12,12,409.76,0.49,apolipoprotein A-II [Monodon monoceros]
4,1,RefSeq_Narwhal,XP_029071635.1,12841,188157,482,482,172,172,219.53,0.75,complement C3 [Monodon monoceros]
15,1,RefSeq_Narwhal,XP_029070644.1,2749,43024,96,96,40,40,213.6,0.66,fetuin-B [Monodon monoceros]
13,1,RefSeq_Narwhal,XP_029064606.1,3226,52171,129,129,44,44,131.99,0.63,hemopexin [Monodon monoceros]
17,1,RefSeq_Narwhal,XP_029090673.1,2578,54810,89,89,44,44,87.38,0.68,vitamin D-binding protein isoform X1 [Monodon monoceros]
57,1,RefSeq_Narwhal,XP_029063525.1,588,11221,18,18,9,9,61.06,0.59,apolipoprotein C-II [Monodon monoceros]
21,1,RefSeq_Narwhal,XP_029064161.1,1917,53405,62,62,37,37,52.65,0.59,plasma protease C1 inhibitor [Monodon monoceros]
6,1,RefSeq_Narwhal,XP_029097744.1,6690,193148,257,257,134,134,45.15,0.73,complement C4-like [Monodon monoceros]
8,1,RefSeq_Narwhal,XP_029070386.1,4217,122119,149,149,74,74,40.55,0.73,ceruloplasmin isoform X2 [Monodon monoceros]
24,1,RefSeq_Narwhal,XP_029065213.1,1640,47226,56,56,31,31,35.71,0.62,alpha-1-antitrypsin-like [Monodon monoceros]
19,1,RefSeq_Narwhal,XP_029079181.1,2410,93593,93,93,56,56,28.71,0.71,plasminogen isoform X1 [Monodon monoceros]
18,1,RefSeq_Narwhal,XP_029085198.1,2520,70282,76,76,35,35,22.69,0.62,C4b-binding protein alpha chain isoform X2 [Monodon monoceros]
9,1,RefSeq_Narwhal,XP_029083177.1,4141,144150,141,141,70,70,22.5,0.63,complement factor H-like isoform X1 [Monodon monoceros]
23,1,RefSeq_Narwhal,XP_029083524.1,1778,56976,64,64,35,35,22.44,0.55,antithrombin-III isoform X1 [Monodon monoceros]
9,2,RefSeq_Narwhal,XP_029083178.1,3799,137557,129,129,64,64,20.51,0.61,complement factor H-like isoform X2 [Monodon monoceros]
14,1,RefSeq_Narwhal,XP_029097695.1,2893,101975,95,95,56,56,20.44,0.66,inter-alpha-trypsin inhibitor heavy chain H4 isoform X2 [Monodon monoceros]
52,1,RefSeq_Narwhal,XP_029065345.1,675,10733,15,15,7,7,19.2,0.38,apolipoprotein C-III [Monodon monoceros]
59,1,RefSeq_Narwhal,XP_029058935.1,559,23093,27,27,13,13,16.19,0.46,alpha-1-acid glycoprotein-like [Monodon monoceros]
40,1,RefSeq_Narwhal,XP_029062883.1,885,43172,30,30,23,23,14.37,0.62,apolipoprotein A-IV [Monodon monoceros]
3,2,RefSeq_Narwhal,XP_029060825.1,3670,166275,133,133,79,79,14.03,0.68,pregnancy zone protein-like [Monodon monoceros]
20,1,RefSeq_Narwhal,XP_029097746.1,2101,87095,66,66,41,41,13.34,0.63,complement factor B [Monodon monoceros]
71,1,RefSeq_Narwhal,XP_029057033.1,409,22937,14,14,9,9,13.21,0.62,retinol-binding protein 4 isoform X1 [Monodon monoceros]
29,1,RefSeq_Narwhal,XP_029067304.1,1105,55783,42,42,24,24,12.79,0.49,vitronectin [Monodon monoceros]
27,1,RefSeq_Narwhal,XP_029091390.1,1220,72780,52,52,37,37,11.61,0.59,afamin isoform X1 [Monodon monoceros]
35,1,RefSeq_Narwhal,XP_029069443.1,966,38899,34,34,16,16,10.33,0.54,alpha-2-HS-glycoprotein isoform X1 [Monodon monoceros]
51,1,RefSeq_Narwhal,XP_029072109.1,687,25693,22,22,10,10,9.82,0.51,glutathione peroxidase 3 [Monodon monoceros]
5,1,RefSeq_Narwhal,XP_029087893.1,10929,515810,346,346,222,222,8.99,0.54,apolipoprotein B-100 isoform X1 [Monodon monoceros]
43,1,RefSeq_Narwhal,XP_029068300.1,864,39760,29,29,17,17,8.53,0.48,beta-2-glycoprotein 1 isoform X1 [Monodon monoceros]
56,1,RefSeq_Narwhal,XP_029073997.1,603,31512,26,26,12,12,8.39,0.24,LOW QUALITY PROTEIN: immunoglobulin lambda-1 light chain-like [Monodon monoceros]
2,2,RefSeq_Narwhal,XP_029070704.1,1179,78608,48,48,34,34,8.29,0.49,inhibitor of carbonic anhydrase isoform X1 [Monodon monoceros]
60,1,RefSeq_Narwhal,XP_029082577.1,542,26166,15,15,10,10,7.6,0.5,complement C1q subcomponent subunit A [Monodon monoceros]
26,1,RefSeq_Narwhal,XP_029064419.1,1322,71850,49,49,30,30,7.24,0.58,prothrombin [Monodon monoceros]
72,1,RefSeq_Narwhal,XP_029091689.1,396,18439,11,11,7,7,6.61,0.47,immunoglobulin J chain [Monodon monoceros]
16,1,RefSeq_Narwhal,XP_029058500.1,2712,190024,98,98,79,79,6.55,0.57,complement C5 isoform X1 [Monodon monoceros]
45,1,RefSeq_Narwhal,XP_029058938.1,813,51578,34,34,18,18,6.49,0.4,clusterin [Monodon monoceros]
33,1,RefSeq_Narwhal,XP_029059228.1,977,40015,26,26,15,15,6.44,0.51,protein AMBP [Monodon monoceros]
34,1,RefSeq_Narwhal,XP_029067342.1,969,55507,28,28,22,22,6.09,0.48,alpha-2-antiplasmin isoform X2 [Monodon monoceros]
25,1,RefSeq_Narwhal,XP_029070181.1,1444,70932,46,46,23,23,5.92,0.38,kininogen-1 isoform X1 [Monodon monoceros]
61,1,RefSeq_Narwhal,XP_029075395.1,538,42052,20,20,16,16,5.73,0.6,"actin, cytoplasmic 1 [Monodon monoceros]"
36,1,RefSeq_Narwhal,XP_029100754.1,934,54571,27,27,20,20,5.15,0.57,angiotensinogen isoform X1 [Monodon monoceros]
47,1,RefSeq_Narwhal,XP_029072458.1,801,63083,28,28,20,20,5.05,0.49,complement component C9 [Monodon monoceros]
46,1,RefSeq_Narwhal,XP_029085146.1,802,68393,33,33,20,20,5.04,0.46,complement component C8 beta chain [Monodon monoceros]
54,1,RefSeq_Narwhal,XP_029096556.1,623,47542,23,23,16,16,4.98,0.4,thyroxine-binding globulin [Monodon monoceros]
11,1,RefSeq_Narwhal,XP_029080674.1,3689,256377,116,116,82,82,4.7,0.55,fibronectin isoform X5 [Monodon monoceros]
28,1,RefSeq_Narwhal,XP_029057789.1,1172,85034,37,37,25,25,4.62,0.54,gelsolin isoform X1 [Monodon monoceros]
73,1,RefSeq_Narwhal,XP_029083007.1,381,38971,16,16,12,12,4.44,0.46,CD5 antigen-like [Monodon monoceros]
84,1,RefSeq_Narwhal,XP_029097493.1,249,22557,9,9,7,7,4.28,0.41,tetranectin [Monodon monoceros]
22,1,RefSeq_Narwhal,XP_029098786.1,1870,101542,50,50,32,32,4.12,0.48,inter-alpha-trypsin inhibitor heavy chain H1 isoform X1 [Monodon monoceros]
88,1,RefSeq_Narwhal,XP_029061405.1,224,17191,7,7,6,6,4.1,0.49,myoglobin [Monodon monoceros]
30,1,RefSeq_Narwhal,XP_029071249.1,1101,76877,33,33,25,25,3.95,0.4,vitamin K-dependent protein S [Monodon monoceros]
49,1,RefSeq_Narwhal,XP_029097747.1,783,84284,31,31,25,25,3.82,0.45,complement C2 [Monodon monoceros]
58,1,RefSeq_Narwhal,XP_029066215.1,560,36136,22,22,10,10,3.77,0.47,apolipoprotein E [Monodon monoceros]
42,1,RefSeq_Narwhal,XP_029091731.1,868,66751,29,29,19,19,3.76,0.35,fibrinogen alpha chain-like isoform X1 [Monodon monoceros]
62,1,RefSeq_Narwhal,XP_029073400.1,514,60584,25,25,20,20,3.76,0.42,heparin cofactor 2 isoform X1 [Monodon monoceros]
44,1,RefSeq_Narwhal,XP_029084499.1,825,63662,24,24,14,14,3.75,0.48,complement component C8 alpha chain isoform X2 [Monodon monoceros]
126,1,RefSeq_Narwhal,XP_029067045.1,124,15251,5,5,5,5,3.63,0.57,profilin-1 [Monodon monoceros]
145,1,RefSeq_Narwhal,XP_029099148.1,97,15316,5,5,5,5,3.58,0.38,"cathelicidin-5-like, partial [Monodon monoceros]"
32,1,RefSeq_Narwhal,XP_029067726.1,1029,62582,29,29,20,20,3.53,0.45,soluble calcium-activated nucleotidase 1 isoform X1 [Monodon monoceros]
91,1,RefSeq_Narwhal,XP_029066311.1,209,22149,8,8,6,6,3.39,0.45,flavin reductase (NADPH) [Monodon monoceros]
31,1,RefSeq_Narwhal,XP_029072270.1,1056,96556,33,33,28,28,3.36,0.46,complement component C7 isoform X1 [Monodon monoceros]
64,1,RefSeq_Narwhal,XP_029090732.1,504,68102,22,22,20,20,3.01,0.47,complement factor I [Monodon monoceros]
50,1,RefSeq_Narwhal,XP_029061531.1,762,78640,26,26,22,22,3,0.52,complement C1s subcomponent [Monodon monoceros]
48,1,RefSeq_Narwhal,XP_029061483.1,801,83035,27,27,21,21,2.93,0.42,complement C1r subcomponent isoform X1 [Monodon monoceros]
66,1,RefSeq_Narwhal,XP_029066312.1,450,49315,17,17,14,14,2.83,0.42,carboxypeptidase B2 [Monodon monoceros]
41,1,RefSeq_Narwhal,XP_029072214.1,883,108741,32,32,28,28,2.69,0.37,complement component C6 isoform X1 [Monodon monoceros]
68,1,RefSeq_Narwhal,XP_029085018.1,424,62563,19,19,13,13,2.61,0.38,extracellular matrix protein 1 isoform X1 [Monodon monoceros]
98,2,RefSeq_Narwhal,XP_029085499.1,137,22373,6,6,6,6,2.51,0.3,peroxiredoxin-1 [Monodon monoceros]
83,1,RefSeq_Narwhal,XP_029091883.1,269,26793,9,9,7,7,2.42,0.41,extracellular superoxide dismutase [Cu-Zn] [Monodon monoceros]
141,1,RefSeq_Narwhal,XP_029071450.1,102,15290,4,4,4,4,2.38,0.36,"cathelicidin-6-like, partial [Monodon monoceros]"
163,1,RefSeq_Narwhal,XP_029086491.1,78,15590,4,4,4,4,2.32,0.21,LOW QUALITY PROTEIN: protein S100-A12 [Monodon monoceros]
